vals,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,hat_w_mean,hat_w_std,hat_v_mean,hat_v_std,hat_tau_mean,hat_tau_std,flags_mean,flags_std,times_mean,times_std
2.270156829959207,0.30716652720950954,0.04684975078637874,0.14508356086847707,0.054803838327767265,0.005717618066645591,0.0009418332024646523,0.8417479437165236,0.06559970268500338,1.847335096921284,0.03533884380573438,3.751681153335177,0.11745397753875333,1.0,0.0,0.013723937869071959,0.0024154179979901606
2.2024910059142684,0.3180368138876096,0.04727185704666474,0.14676358188616162,0.055878630020893,0.006236111562262623,0.0009382646443435579,0.844313798565811,0.06536893766962865,1.8457115940072246,0.03531348532982755,3.7531070530030894,0.11758725496167066,1.0,0.0,0.013691332737604778,0.0024073995053545613
2.1368420750122423,0.329200056235738,0.04832557176426958,0.1479937102016681,0.056528785844162543,0.00662403210847505,0.0009585843115616876,0.8468423686791846,0.06503551086572502,1.8439400709783282,0.03521155746299444,3.7541855648842124,0.11722798491852796,1.0,0.0,0.013943756421407064,0.002238029268600435
2.0731499203771824,0.34067673291535866,0.049628604738144705,0.14847620066578435,0.058101697140991254,0.006955439867491929,0.001222220018362287,0.8494359354458993,0.06482363568159824,1.8420742709217919,0.03545491048557721,3.755115491982985,0.11756340951109202,1.0,0.0,0.013938010533650716,0.0023158839355213413
2.011356217017251,0.35215615934484445,0.050744650569632795,0.14894606479021327,0.059645752826240336,0.007353731298963004,0.001153282725666382,0.8520178657311156,0.06449814187747578,1.8403504621435431,0.03543646573995238,3.7562325801415204,0.11729188346257173,1.0,0.0,0.014122710824012757,0.002352974026108597
1.951404378414617,0.36367982388039777,0.05186397517523252,0.14910381675199008,0.061468904416754344,0.007759790343925798,0.0012357338429196966,0.8546831168391351,0.0642513894042657,1.8386758975514321,0.03553332137125742,3.757380589558295,0.11731461195737178,1.0,0.0,0.014099893371264141,0.0024343149982156923
1.8932395047073238,0.3754855069470685,0.052789399728826604,0.14860416646629848,0.06331482993287343,0.007964415699610785,0.001451576431970338,0.8572940729721934,0.06402475757694964,1.8367814872264945,0.03567755721581043,3.7579878179307613,0.11760481808726192,1.0,0.0,0.014411910374959308,0.002366425427597436
1.8368083324156919,0.38678491740794946,0.05364372213261884,0.1485830700391086,0.06578993497718602,0.008587432494856833,0.0016077881171704766,0.8600204755384814,0.06375860339366439,1.8355198959890124,0.035698846526947645,3.7597335902691285,0.11748792593967584,1.0,0.0,0.014368422428766889,0.0024023840161124864
1.7820591856672048,0.3982763793856484,0.05445023264520033,0.14787611479888418,0.06876746168842843,0.009151999663838768,0.0018963548188176292,0.862698711647132,0.06354419793440741,1.834215643594098,0.03589784598685281,3.7613338879436116,0.11779088441474884,1.0,0.0,0.014546175996462504,0.0024733552603734394
1.7289419288752192,0.4098616012160594,0.05514606055415775,0.14642903137753363,0.07325231569099935,0.009798235143181172,0.0022146884461113,0.8654155993886169,0.06340647513096292,1.8330258902335768,0.03602869035725861,3.7631651612377004,0.1184641940891445,1.0,0.0,0.014676694472630814,0.0023417775846029548
