vals,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,hat_w_mean,hat_w_std,hat_v_mean,hat_v_std,hat_tau_mean,hat_tau_std
2.011356217017251,0.27051288541430596,0.03306002581020015,0.13501864696411836,0.03903356934107971,0.00831258912370989,0.0015718509280107085,0.8230233910135274,0.06277612902242113,1.8653339001974145,0.029730570045978587,3.80168816781543,0.11741348876320376
1.951404378414617,0.2820586461345969,0.033541153439307254,0.13649153888774404,0.04179519744976838,0.008590346018068564,0.0015351748908556191,0.8255247429377368,0.06264253410616245,1.8632079863260511,0.02953452793610023,3.802474594553991,0.11736148178444951
1.8932395047073238,0.293081471236449,0.03404138351084312,0.13835599210642943,0.0456717337344808,0.009365041345105359,0.0017056566911346988,0.828222948528342,0.06253143922089832,1.8617538337829374,0.029500107476210045,3.804568294781075,0.11764897744240257
1.8368083324156919,0.30417643827733254,0.0356937913906767,0.1399143790587779,0.04940555461938221,0.010215923209422507,0.0014951530217910335,0.8309748068559051,0.062323879035139675,1.8604141903203466,0.02956534005901018,3.806876482336058,0.1173163519173708
1.7820591856672048,0.3157035935955549,0.03676814228722262,0.14122897802019913,0.0514704730313229,0.010934964608809312,0.00155354171665877,0.833678424973618,0.06220769390220772,1.8588985130683242,0.02937953823479417,3.808855468969411,0.11682988611224612
1.7289419288752192,0.32727451279394554,0.03741609757305708,0.14286484024380267,0.05258350459665461,0.011742255673148363,0.0019081770219019725,0.8364355289964085,0.061983177886586194,1.8575083630280507,0.029306623267962715,3.811056899186172,0.11712454493715342
1.6774079208281676,0.33775543476116515,0.038342829469931804,0.1474556530334318,0.04949179755243386,0.013656234031739425,0.0022310291934655516,0.8395960077681499,0.06156015824237816,1.85745569725973,0.0297809490077311,3.8162131686842136,0.11817474772664664
1.6274099701472073,0.34981671300619543,0.039354739941110765,0.1460523490824595,0.05535372762507791,0.014779490996354791,0.0021493862133379086,0.8426143023737414,0.06152226518200801,1.85622060201948,0.029359559216454213,3.819317843471372,0.11771728710749184
1.578902292071531,0.3611717636194828,0.040883849954726596,0.14513149279538792,0.06318955675093774,0.01666200190933424,0.00211864818151764,0.8458598898191614,0.061636062219092805,1.8559662491253648,0.029352663567096215,3.8244661465109275,0.11772215034425466
1.5318404665317589,0.372363482437467,0.041371740634777186,0.14693034831113597,0.06574740371688183,0.01908481016606378,0.0021961456916584354,0.8492177107494998,0.061666009755083344,1.8562374845382787,0.028529695508822804,3.83109703242195,0.11660123290110734
1.486181397473029,0.3834596574870061,0.042654416690234974,0.1498265132521577,0.06649092840905445,0.022090540338092702,0.00293889550761358,0.8527249187206015,0.061702467164094756,1.8570154119680846,0.02912455512683814,3.8392994055447964,0.11735826014749597
1.4418832733905278,0.39493233108540526,0.04386883157329633,0.1503850826141677,0.07065218730647747,0.02527238372154784,0.003692189771386687,0.8562554559640848,0.06167913505639367,1.8578994498609298,0.02851631151908226,3.8480715295206958,0.1152790185211421
1.398905529041325,0.4058416886017494,0.04427258094529907,0.15313699647840537,0.07094970884156437,0.029596277007317186,0.004211246552972542,0.8600852478098618,0.06161709540357764,1.8598824743416595,0.02848835270839048,3.859932327103105,0.11468672517078435
1.3572088082974532,0.41604104881336035,0.04613448064861629,0.1591367543047197,0.06838741702752214,0.03516156060988926,0.005227827548938428,0.8640563261043649,0.06099452345296359,1.8631221419655535,0.02915511990941118,3.8751487556107542,0.11351983304532233
