alphas,w_mean,w_std,v_mean,v_std
10.000000000000002,0.0,0.0,0.0,0.0
9.701933262266492,0.0,0.0,0.0,0.0
9.412750902547295,0.0,0.0,0.0,0.0
9.132188107085252,0.0,0.0,0.0,0.0
8.859987955340486,0.0,0.0,0.0,0.0
8.595901184719835,0.0,0.0,0.0,0.0
8.33968596231893,0.0,0.0,0.0,0.0
8.091107663467895,0.0,0.0,0.0,0.0
7.84993865687785,9.948404738468614e-07,4.3364090904425885e-06,1.6304353748400495e-06,7.106903032901634e-06
7.615958096191474,4.857227721702788e-05,0.00021172164784666756,7.960468144701776e-05,0.0003469887618602976
7.388951717746785,9.727344585845449e-05,0.00042400512038697825,0.0001594206019251946,0.0006948982933103489
7.168711644368867,0.00017941197297800094,0.0006492549423426762,0.0002940367175473483,0.0010640582617150163
6.95503619500994,0.00034984677083310157,0.0009178727747824886,0.000573360821091455,0.0015042936842136645
6.747729700063433,0.0005918795637288069,0.0012445210975452043,0.0009700262541759939,0.0020396347711168932
6.546602322182891,0.0009380599469607138,0.0015940936584665625,0.0015373782646088438,0.0026125461919758557
6.351469882441723,0.0014707437616577623,0.0019147577724314905,0.0024103891220465757,0.0031380798112791656
6.162153691674519,0.002063808805207492,0.0022756840615209208,0.0033823582487604335,0.003729598758197018
5.978480386845528,0.002764164221500171,0.0026009087740383394,0.004530164631495306,0.004262606702687029
5.800281772294445,0.0035270403967327555,0.0029242153208559117,0.005780435740703663,0.00479247098214325
5.627394665714152,0.004413537157282877,0.003155966766204684,0.007217327265266725,0.005180945564582962
5.459660748719315,0.005452994270485227,0.0032449233892656425,0.008864933692874038,0.005350235221902023
5.2969264218690695,0.006545326066322413,0.0033378492135132227,0.01057419777400522,0.005473467839458224
5.139042664010976,0.007678745345126229,0.003464503473139991,0.012319227253245864,0.005590021206503452
4.9858648958174685,0.008899090230702261,0.0036792324759605632,0.014075439763541453,0.005674181929695998
4.837252847389834,0.0101720532669374,0.003915241384547424,0.015872827312189322,0.005774681237876306
4.693070429808473,0.011545271404340756,0.004100760978585282,0.017689097123952755,0.0059209866254479535
4.553185610511813,0.013113413112174921,0.004209794776363901,0.019503296993170518,0.006092609667819402
4.417470292389771,0.014762808734950986,0.004343037340534281,0.02139108281965911,0.006235086526918055
4.28580019648104,0.016487873957076706,0.004496856617669386,0.023350570706408863,0.0063585178386538115
4.158054748166767,0.01828425654025225,0.004646066298553994,0.025374623871113593,0.006493153505535151
4.034116966756427,0.02018406872557591,0.004824186856404005,0.027441283670681084,0.006618780244336266
3.9138733583647793,0.022240433140774726,0.005017796571732944,0.029520424771806886,0.006733396498732348
3.7972138119817904,0.02445271393896123,0.005174552049273478,0.031626999443954876,0.00683999932110847
3.6840314986403864,0.02680573575171553,0.005279609149796491,0.033764318419737045,0.006991493932590897
3.5742227735896637,0.029372257843122706,0.005381379760671725,0.035881518659944614,0.007162897044383488
3.4676870813839953,0.03219630644659495,0.005572946394814387,0.03795645534303541,0.007264265701031702
3.3643268638011197,0.035228341843147506,0.005772769151582637,0.04003173603261185,0.007379893449486467
3.2640474705048783,0.038421355703529045,0.00600334251786031,0.04214519195284121,0.007498449440458329
3.1667570723708085,0.04176659086644739,0.006303869538521478,0.04429774273528546,0.007611753259378299
3.0723665773952002,0.04529908992081806,0.006599090582963478,0.04646122826805958,0.007749601524600809
2.9807895491106353,0.04902248031076893,0.0068447667000921045,0.048641153689161526,0.00787939296718056
2.89194212743328,0.052947448582928235,0.007114376273469705,0.05080998796125301,0.008014360373249383
2.8057429518694663,0.05699913076187291,0.007401252880975391,0.053040036804062315,0.008137421568658529
2.722113087011215,0.06123325129232191,0.007674622725746874,0.0552624983036736,0.008338619473234641
2.640975950252502,0.06567393837179022,0.00796389764738755,0.057457374902566846,0.008555589471278408
2.56225724166006,0.07035976518331329,0.00823061961090067,0.059591712168400035,0.008787792605856347
2.4858848759344934,0.07529510121555467,0.008514496302073161,0.061666594643116336,0.008976654411097991
2.4117889163994066,0.08043707744019915,0.008852983662251962,0.06371491116108866,0.009164662246409144
2.3399015109581063,0.08579509491859992,0.009185366383179268,0.0657361637664596,0.009361189768598389
2.270156829959207,0.09132827645349074,0.009544181553961808,0.06776529320753634,0.009616563391448554
2.2024910059142684,0.09705503016872735,0.009953153660209052,0.06978648687390446,0.009899157644850273
2.1368420750122423,0.10293609486703217,0.010386752353831899,0.07186106719066314,0.010133581046192743
2.0731499203771824,0.10901502052993235,0.010784175514918604,0.07393835784532035,0.010345921588015831
2.011356217017251,0.11529139131204462,0.01113796515683241,0.07603208247948082,0.010508875686942434
1.951404378414617,0.12174701088922886,0.011467844576781266,0.07816452783128167,0.01068492753187073
1.8932395047073238,0.12833331143783594,0.011776781771640547,0.08040345204549845,0.010827698817096044
1.8368083324156919,0.13503156837886204,0.012102288314175046,0.08279444889207083,0.010895831268162771
1.7820591856672048,0.14184242950285322,0.012406446916043729,0.08534369348014034,0.010972010924094472
1.7289419288752192,0.14878418697170046,0.012722599208608588,0.08804495470340547,0.01106934730698445
1.6774079208281676,0.15582014935230243,0.01302821254384452,0.09098784036384153,0.011150165412862236
1.6274099701472073,0.16293969488523916,0.013360024768735783,0.09421574774638602,0.011215615185617147
1.578902292071531,0.1701595317148333,0.013684824338697586,0.09773500792474275,0.011291771886800526
1.5318404665317589,0.17744835798071876,0.013985637935952266,0.10160912622469993,0.011357278287929963
1.486181397473029,0.18482184452738576,0.014273834431937055,0.10582965639510704,0.011429722441174527
1.4418832733905278,0.19226187218697585,0.014556584739131701,0.11042917509395685,0.011470063854684256
