vals,w_mean,w_std,v_mean,v_std
10.000000000000002,0.0,0.0,0.0,0.0
9.701933262266492,1.082503049772652e-05,4.718521400033569e-05,1.0800769344436155e-05,4.7079462084889274e-05
9.412750902547295,9.844805627656414e-05,0.0003444334644122556,9.822741362941728e-05,0.0003436615171110274
9.132188107085252,0.0002728906786695894,0.0007300568494974067,0.0002722790736872197,0.0007284206396834888
8.859987955340486,0.0005044496659838666,0.00118103558260136,0.0005033190889682842,0.0011783886352955879
8.595901184719835,0.0009100609265981467,0.0016429134676112498,0.0009080212900679397,0.0016392313555387808
8.33968596231893,0.0016355801348360386,0.002082620520965648,0.001631914458293302,0.002077952933588835
8.091107663467895,0.0025275395001804544,0.0025472358523948506,0.0025218747564853482,0.002541526965062418
7.84993865687785,0.003678389659094043,0.002850074504214749,0.00367014561992947,0.00284368689223987
7.615958096191474,0.004943765178250107,0.003112898555094012,0.004932685168374266,0.003105921899551254
7.388951717746785,0.006322065208860662,0.0032716851398059735,0.0063078961408681,0.0032643526103769516
7.168711644368867,0.0077794191198585026,0.003357236185215391,0.007761983817499168,0.003349711918033089
6.95503619500994,0.009309623337098196,0.003500869529881234,0.009213958861700386,0.0033913213194234977
6.747729700063433,0.010882953631399465,0.0036676705506781294,0.010697519250917536,0.003438675083080835
6.546602322182891,0.01255398288844894,0.003834855315203724,0.012164134232866322,0.00351504120078095
6.351469882441723,0.014474385276871,0.003928253156094672,0.013486204499901622,0.0037024245059478966
6.162153691674519,0.016626660722640837,0.004101385519695306,0.014708933124031742,0.003829966578079609
5.978480386845528,0.018977505276471896,0.004245188332296802,0.015872975302063594,0.003994653581905713
5.800281772294445,0.021561422242670162,0.004456572889808161,0.01693576737225607,0.004096310431406789
5.627394665714152,0.024291355019800204,0.00472410437967506,0.01798589065498623,0.004200841623370133
5.459660748719315,0.027178034649288214,0.005033989281025576,0.018996560502825437,0.004320595220571256
5.2969264218690695,0.030335986649159808,0.005452831928500279,0.01982457900507863,0.004262067583239228
5.139042664010976,0.03366864452751457,0.005884116025755223,0.02057761406453986,0.004197575664452982
4.9858648958174685,0.03725827028908203,0.006155757799431858,0.02114127013515306,0.004214344992196822
4.837252847389834,0.04098925070912757,0.006415852701075959,0.021653352862417936,0.0042609250076029725
4.693070429808473,0.04486798914072536,0.006654871380904282,0.0221069528050503,0.0042932246094181505
4.553185610511813,0.04886163556365868,0.006857010707670007,0.022545758339683305,0.004371264891925952
4.417470292389771,0.052947023112574244,0.007055182002404223,0.02301106846864188,0.004465291807420182
4.28580019648104,0.05711704545485141,0.007260658990516358,0.023516176558975397,0.004569285264445455
4.158054748166767,0.06137241851150088,0.007473368443144542,0.02406097993649786,0.004683501369291384
4.034116966756427,0.06571381032404097,0.007693235767845389,0.024645265916427538,0.004808091157426204
3.9138733583647793,0.07014346539326269,0.007918218144781424,0.025266146247274072,0.004937333808880811
