vals,w,v,tau,hat_w,hat_v,hat_tau
10.000000000000002,0.009530327321678083,0.01688304754697499,0.00023327667787816135,0.7697944748292158,1.3698753802223629,1.8842490118725812
9.545484566618343,0.011862040743212055,0.01924279034519982,0.00029018535829940863,0.7702630640208821,1.369275186083927,1.884322169783203
9.111627561154894,0.014561699037457352,0.0217246256429465,0.00035599409470811206,0.7708038996378277,1.3685822595051287,1.8844067295476425
8.697490026177835,0.017650275435702703,0.02430984086002747,0.0004311782831332552,0.7714210876376872,1.3677924896206082,1.884503284494957
8.302175681319746,0.02114557451865275,0.026978530403755554,0.0005161283814810545,0.7721181716080249,1.3669028514701562,1.8846123194511688
7.924828983539174,0.025062131954869584,0.02971015133345301,0.0006111472676331356,0.7728981194737949,1.3659114316193501,1.8847342064142967
7.564633275546291,0.029411215576102084,0.03248404223946757,0.0007164502697050488,0.7737633272071218,1.3648174223900003,1.884869201924382
7.220809018385465,0.03420091073815352,0.03527988953633106,0.0008321674473085794,0.7747156421229346,1.3636211036897925,1.8850174573229608
6.892612104349699,0.03943627267580092,0.03807813136921095,0.0009583476805706568,0.7757563938577805,1.3623237968909414,1.8851790229508907
6.579332246575682,0.045119527218302966,0.040860293276178676,0.0010949640971991397,0.776886429976018,1.3609277990705846,1.885353852815914
6.280291441834254,0.051250304802585196,0.04360925536579306,0.0012419204445655153,0.7781061657787098,1.3594363261866007,1.8855418214053867
5.994842503189412,0.05782589174164428,0.046309452232832705,0.0013990580578612656,0.7794156267827861,1.357853431052697,1.8857427299998863
5.722367659350217,0.06484148747321533,0.04894701088312848,0.0015661633897040479,0.7808144957257978,1.3561839275318723,1.8859563191562723
5.462277217684343,0.07229045745998722,0.0515098327719742,0.0017429768543689489,0.7823021572894333,1.354433313026378,1.8861822817655467
5.214008287999686,0.08016457444384437,0.05398762781555034,0.0019292060209903116,0.7838777427833225,1.3526076976469188,1.8864202831380854
4.977023564332112,0.0884542400328278,0.056371908734720415,0.0021245516402075113,0.7855401655559948,1.3507137262112938,1.8866699896773471
4.750810162102798,0.09714868721266373,0.05865595968599135,0.0023287663914615766,0.787288177882551,1.3487585507890711,1.8869311543352254
4.534878508128582,0.10623615267352704,0.06083479398919584,0.0025417856004368894,0.7891204247493353,1.3467498105192868,1.887203779135202
4.328761281083059,0.11570401905084289,0.06290513080840675,0.002763997296992157,0.7910355367803967,1.3446956968548944,1.887488463162898
4.132012400115338,0.12553891909061965,0.06486543473465009,0.0029967503455862587,0.7930322769672821,1.3426051330878457,1.887787054131789
3.9442060594376556,0.13572679512680025,0.06671608644873545,0.0032432229444763873,0.7951097729474588,1.340488129747465,1.8881037627503239
3.7649358067924688,0.1462529077697978,0.06845977930323509,0.003509772951448184,0.7972678641472135,1.3383563753070686,1.8884468981917464
3.593813663804628,0.1571017917070663,0.07010225984805062,0.0038078503348006176,0.799507582313193,1.336224104226344,1.8888313326592407
3.430469286314919,0.16825716454483083,0.07165353878215756,0.00415646270906257,0.8018317615258954,1.3341092447723517,1.8892816914464952
3.2745491628777286,0.17970180659226978,0.07312967863159672,0.004585054206095846,0.8042457429072076,1.3320347920788655,1.8898361009150264
3.1257158496882362,0.19141743958579832,0.0745551999786029,0.005136509493902838,0.8067580934748978,1.3300302649830875,1.8905501273103114
