alphas,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,hat_w_mean,hat_w_std,hat_v_mean,hat_v_std,hat_tau_mean,hat_tau_std
4.0,0.3162099861215736,0.017153257563195717,0.05802177740031507,0.045617775906544124,0.004337450882836276,0.0007439680428874946,0.8267540332513074,0.031230902553294627,0.9128259137552858,0.009948017946165592,0.9307600939732674,0.018722392213517413
3.9443784490374707,0.32017366203606706,0.017396593193476806,0.058242215004048324,0.04635342803261224,0.0046575727341100215,0.0008648146900137944,0.8277705450613102,0.03110597040393828,0.912548509756536,0.009857680733377663,0.9309715771503747,0.018667387134287936
3.889530337307811,0.3244101546151138,0.01762553896876937,0.05826167192114405,0.046697012749495816,0.004787424031788111,0.000993388598304556,0.8287180538918031,0.03094007282156985,0.9121496308841246,0.009889683343658612,0.9310586851183983,0.018708604728514957
3.835444909838595,0.32853192589897123,0.017820419276512543,0.058810146638877216,0.04670721434748678,0.005016294782105661,0.0009214186774686734,0.8296960206689332,0.03070472443038406,0.9118175745985437,0.009888572669758023,0.9312108384215879,0.01870107316974325
3.782111561209455,0.33227054986444315,0.017755366304818814,0.05970380920325471,0.04753220695676006,0.005594326302305684,0.0009529884721702676,0.8307936207285458,0.030511936924488944,0.9117028084075294,0.0098213551867319,0.9315917715083971,0.01864261657797047
3.7295198334725095,0.3365695258182289,0.01770844442512191,0.059280440596270814,0.04775929431190465,0.005781110238184751,0.0009107185354165476,0.8317572162422223,0.03031074881533041,0.9113318187054136,0.009794986746298572,0.9317172594848339,0.018654214427172168
3.6776594141016963,0.34088081016003374,0.0176790873939506,0.05920609558728318,0.0475843916597037,0.00596900141593246,0.0008629674255292877,0.8327194387053305,0.030077717696715762,0.9109693536540708,0.009742611115342576,0.9318444700862409,0.018612251357894013
3.6265201339706254,0.3449169404810316,0.017613352061776888,0.059986848123726254,0.047652681470270096,0.006411333267133998,0.0009059059732204268,0.8337721321757325,0.02984722468596463,0.9107663298393047,0.00965521317340503,0.9321393463918717,0.018528317240938414
3.5760919653585543,0.34912405850887773,0.017796775434216774,0.059871891760872334,0.04793183779161493,0.006756916886496933,0.001056389612780815,0.8347953371861344,0.029617121777334405,0.9105001032748289,0.009560502963223626,0.9323705478050881,0.018435350697604644
3.5263650199840844,0.35342452193128715,0.018056737227770268,0.06041627428839354,0.047734087872381654,0.007056137308038377,0.0010289449963776435,0.8358067147861392,0.029391413416659393,0.9102061207838148,0.0095329419711718,0.9325722830024684,0.018407794187519307
