alphas,w,v,tau,hat_w,hat_v,hat_tau
4.0,0.022787029592887836,0.028702139275475415,0.0011439340292523747,0.7522802550920422,1.9346109685949435,3.776517650987807
3.916858388984005,0.024577391998186624,0.029975637751189936,0.0012331857681238284,0.7527101240266976,1.9339922355752153,3.7767458358022536
3.835444909838595,0.02645483486136556,0.031260649524901644,0.0013266863477540323,0.7531597420417547,1.9333438038952317,3.776984794821816
3.7557236426468252,0.0284201913939421,0.03255542345849508,0.0014244671718814039,0.7536292753438557,1.9326655975953078,3.777234601563249
3.6776594141016963,0.030474166567167154,0.03385823231161283,0.0015265549374342466,0.7541188635434739,1.9319576035848427,3.7774953124327943
3.6012177819875575,0.03261733974016246,0.03516738008544443,0.001632973321006358,0.7546286221698053,1.9312198766768138,3.777766984880746
3.526365019984085,0.03485016849303561,0.03648120945032945,0.0017437455182021842,0.7551586431820461,1.9304525349594317,3.778049667256439
3.453068102786103,0.037172991940244336,0.03779810834493017,0.0018588979049123748,0.7557089974874043,1.9296557642266343,3.7783434192782575
3.3812946915327076,0.039586034676939816,0.03911651661652724,0.0019784652775241387,0.7562797370986952,1.9288298191472477,3.77864832284144
3.3110131195392425,0.04208941078464497,0.0404349325623027,0.0021024981686875266,0.7568708980285045,1.9279750265422602,3.7789645008188524
3.2421923783258464,0.044683127884022844,0.04175191963017856,0.0022310728541713935,0.7574825039034961,1.9270917903895008,3.7792921427150503
3.1748021039363987,0.04736709113930756,0.04306611354604044,0.002364304756886547,0.7581145704674832,1.9261805990616114,3.779631538965033
3.1088125635418384,0.050141107228593836,0.044376230244734007,0.0025023660343739037,0.758767111038557,1.9252420345595684,3.779983123285241
3.0441946423219304,0.05300488751311672,0.0456810747101293,0.002645508161976898,0.7594401438501488,1.9242767890710009,3.7803475405154243
2.9809198306197047,0.05595805194550718,0.0469795519001724,0.0027940904028475066,0.7601336996538921,1.9232856777153615,3.7807257040798348
2.9189602113628923,0.05900013146599438,0.04827067932985233,0.002948614901220842,0.7608478321939102,1.922269663565856,3.7811188953244557
2.8582884477468173,0.06213057038780948,0.04955360258904949,0.003109769147039899,0.7615826299031798,1.9212298839211517,3.7815288691438553
2.7988777711732986,0.06534872806714459,0.05082761412529371,0.0032784763250742754,0.762338229659675,1.9201676827957437,3.781957982044979
2.7407019694402477,0.06865387990069775,0.05209217596233748,0.00345595384545929,0.7631148325369833,1.9190846491079854,3.7824093409291617
2.6837353751767545,0.07204521761463079,0.05334694696585283,0.0036437800424148907,0.7639127215249625,1.917982660591937,3.78288697254125
2.627952854518552,0.07552184883850198,0.05459181521724109,0.0038439686584446626,0.7647322811013784,1.9168639332057487,3.783396012594265
2.5733297960188635,0.07908279612460813,0.0558269360017234,0.004059050315106052,0.765574018359468,1.9157310748479324,3.78394291033318
2.5198420997897464,0.0827269947009175,0.057052775493871936,0.0042921596889734315,0.7664385857639535,1.914587146543962,3.7845356582974436
2.467466166869135,0.08645329099598709,0.058270160843033256,0.004547126726659515,0.7673268040314759,1.913435719995518,3.7851840106331704
2.416178888808895,0.0902604395513475,0.05948033572267151,0.004828569641734058,0.7682396859492076,1.9122809431591814,3.785899727089545
2.3659576374792928,0.09414710039928419,0.06068502143096033,0.005141987154884214,0.7691784593919732,1.9111276022232395,3.78669680422149
