vals,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,hat_w_mean,hat_w_std,hat_v_mean,hat_v_std,hat_tau_mean,hat_tau_std,flags_mean,flags_std,times_mean,times_std
10.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7786882621668805,0.08578878034766961,1.9356320255316295,0.028385142105693387,3.754512459590913,0.10983235611948644,1.0,0.0,0.13226241350173948,0.05379057465694494
9.701933262266492,0.0,0.0,0.0,0.0,0.0,0.0,0.7786882621668805,0.08578878034766961,1.9356320255316295,0.028385142105693387,3.754512459590913,0.10983235611948644,1.0,0.0,0.12113861024379732,0.056241927612614095
9.412750902547295,0.0,0.0,0.0,0.0,0.0,0.0,0.7786882621668805,0.08578878034766961,1.9356320255316295,0.028385142105693387,3.754512459590913,0.10983235611948644,1.0,0.0,0.1303214174509048,0.06597807229678092
9.132188107085252,0.0,0.0,0.0,0.0,0.0,0.0,0.7786882621668805,0.08578878034766961,1.9356320255316295,0.028385142105693387,3.754512459590913,0.10983235611948644,1.0,0.0,0.13765602111816405,0.06068690957104929
8.859987955340486,0.0,0.0,0.0,0.0,0.0,0.0,0.7786882621668805,0.08578878034766961,1.9356320255316295,0.028385142105693387,3.754512459590913,0.10983235611948644,1.0,0.0,0.13143770436445873,0.053915770261189225
8.595901184719835,0.00018645193004722169,0.0005594144093739245,0.00029460129580218745,0.0008846938099550199,7.081115839572844e-05,0.00021244198071017727,0.7787688707559365,0.08592803571851795,1.9355825986140975,0.02843909942484958,3.7546966391391217,0.10960607051032456,1.0,0.0,0.18045840799808502,0.17539101584418046
8.33968596231893,0.0007845298545339316,0.002353758386120566,0.000896369535219439,0.0026904120327958772,7.211996671204007e-05,0.0002163688857930399,0.7788464650709458,0.08606361791983813,1.9352554992099897,0.028841164849355658,3.754699809547791,0.10960221382268892,1.0,0.0,0.1795551774899165,0.1660214828692435
8.091107663467895,0.00138844911006908,0.004165818921184704,0.0014973808889920041,0.004493945991674813,7.343686219038638e-05,0.00022032007322279114,0.7789243657428054,0.08620021886728788,1.934932977875619,0.02926429297627263,3.754703012479066,0.10959831924423726,1.0,0.0,0.1627881630261739,0.15503832063327255
7.84993865687785,0.0021550705914165497,0.005981497831292777,0.002326231727395002,0.0063064392281606905,0.00011219483320209126,0.0002670855988409001,0.7790453173382257,0.08636722903598953,1.9345635955101677,0.029760898512555204,3.754802682683281,0.10948519892147329,1.0,0.0,0.2032818235953649,0.21238161895646443
7.615958096191474,0.0031507307022573513,0.007904375056114122,0.003451475344126394,0.008206285503066329,0.0001913744399248798,0.0003315324541501595,0.7792513940435454,0.08668102024351801,1.9341190602811493,0.030322089114618055,3.7550066673960485,0.10947158214886835,1.0,0.0,0.2311937069892883,0.24288362569792005
7.388951717746785,0.005360146787382936,0.009694219947358931,0.005984014736095248,0.009908617031101054,0.0004715482313609974,0.00038512561373961083,0.7799089816173035,0.08688277063379471,1.9332779792332062,0.030910327930475573,3.755723900493353,0.1097884691250293,1.0,0.0,0.35929071565469106,0.2810887130267205
7.168711644368867,0.009293371627431053,0.011258259333765435,0.009470728988142012,0.01154636528090736,0.0005200318434838363,0.0003817168307584211,0.7807580840343034,0.08712272010393518,1.9315284091070175,0.031028754055038806,3.7558471298358262,0.10981912666982994,1.0,0.0,0.3528249295552572,0.2735516632495097
6.95503619500994,0.013695562357841386,0.012947915793507774,0.013473451451523854,0.013029536455771039,0.0006512158628683435,0.00032576327107372387,0.7817931505995286,0.0872687275947001,1.9296800418878264,0.031162625330861567,3.7561835056826345,0.10981441098452355,1.0,0.0,0.3887375609079997,0.2697448594430773
6.747729700063433,0.01875928404596721,0.014355864903069476,0.01795849008573506,0.014257087399310163,0.0007449774099514867,0.0002485446742788057,0.7829808244019489,0.08725557544957818,1.9275730167999783,0.03128254383317134,3.756423857582211,0.10976130274747022,1.0,0.0,0.45091372390588125,0.2625211472858314
6.546602322182891,0.024479902457411735,0.01517120095181205,0.02286818191425682,0.015107304468037583,0.0008002442519597181,0.00018392125129816186,0.7843769708717663,0.08708032805835483,1.9252259761754797,0.031372984815189624,3.756564366556391,0.10986575497877489,1.0,0.0,0.4840350927909215,0.23007911590023736
6.351469882441723,0.03033650442324163,0.015970656265975863,0.02782946236550763,0.015984399127001694,0.0008563285213592639,1.1440049176062674e-05,0.7858328071478877,0.08687488608347954,1.922879061335322,0.03136594532943462,3.7567074393387188,0.10984231614324755,1.0,0.0,0.551706335345904,0.2470344409525801
6.162153691674519,0.036532806165324005,0.016231714499909046,0.03311777652262754,0.016370703479028477,0.0008704461794412975,1.1819764437151168e-05,0.7873869092506085,0.08658699372815014,1.9204207473373205,0.03132042353777598,3.756742425817648,0.10984275046845475,1.0,0.0,0.47937822779019673,0.20368192080160447
5.978480386845528,0.04275091776067097,0.01651407972438716,0.0383714722903941,0.01686617020245485,0.0008845953905465499,1.2206529979146187e-05,0.7889495830822147,0.08629994838064166,1.918019201678137,0.03126989626503866,3.7567776923979914,0.10984319389608188,1.0,0.0,0.44564191857973723,0.168704818397594
5.800281772294445,0.04898818127819076,0.016816809037774577,0.0436472445242657,0.01736911435691235,0.0008987697770432063,1.2600207971724457e-05,0.7905202161131285,0.08601393358327065,1.915676352450479,0.03121438404572125,3.7568132368339917,0.10984364685394396,1.0,0.0,0.39175979256629956,0.22826713370078114
