vals,w_mean,w_std,v_mean,v_std
10.000000000000002,0.0,0.0,0.0,0.0
9.701933262266492,0.0,0.0,0.0,0.0
9.412750902547295,0.0,0.0,0.0,0.0
9.132188107085252,1.825117468412386e-05,0.000127758222788867,2.2923917155180565e-05,0.00016046742008626395
8.859987955340486,4.912333040050793e-05,0.00029596611261020463,6.170009196544296e-05,0.00037174060101013545
8.595901184719835,0.00013599753414827894,0.0005241123452857095,0.00017081619457819816,0.000658297791308097
8.33968596231893,0.0003124364789170126,0.0008394551714059697,0.0003924277797406735,0.0010543760134813552
8.091107663467895,0.0005787725209508686,0.0012331165348692706,0.0007269522949398933,0.0015488242141814483
7.84993865687785,0.0009925879257326928,0.0016509806812551784,0.0012467144593450077,0.002073671696037142
7.615958096191474,0.0016318605596739055,0.0020516920252827693,0.002049656360547129,0.0025769748429639028
7.388951717746785,0.00243620775248595,0.002438291196081976,0.003059935903160061,0.0030625527587443933
7.168711644368867,0.0033161327439166902,0.002840910377245274,0.004165142990125136,0.0035682521952909415
6.95503619500994,0.004291938682036557,0.0032095867829315125,0.005390778866836754,0.004031318684286458
6.747729700063433,0.005388324854916652,0.0034882231102526013,0.006767866436934456,0.0043812926555228775
6.546602322182891,0.006578932605753297,0.003690116953030386,0.008263298589487182,0.004634876208695754
6.351469882441723,0.007819191385427648,0.0038699902138391866,0.00982109363601489,0.00486080137792883
6.162153691674519,0.00909191391630983,0.004059987034818609,0.011412420982920383,0.00510239623654425
5.978480386845528,0.010421466983887377,0.004212978950441574,0.013062488993206509,0.00530123397715357
5.800281772294445,0.011792057463150452,0.004344461204443845,0.014767274382762258,0.005469588407419996
5.627394665714152,0.013202806312705168,0.0044536653325204685,0.01652466444546998,0.005607100019350236
5.459660748719315,0.014659609685044483,0.0045698696385455635,0.01831026924565867,0.005744460403675122
5.2969264218690695,0.01618253289383719,0.004672000168886845,0.020117439467528447,0.005893238218506759
5.139042664010976,0.017801878200064757,0.004798349787826381,0.02193102854594306,0.006023386570715555
4.9858648958174685,0.01951793390722328,0.004935059769782776,0.02375647245089085,0.006164665181097014
4.837252847389834,0.02132479155993232,0.0050659654504479745,0.025607731639198033,0.00632219465247273
4.693070429808473,0.023272539127184966,0.005204842726116396,0.027452228778490798,0.006481668544156184
4.553185610511813,0.02540526142334742,0.005360256740833608,0.02926814066232213,0.0066316439657679764
4.417470292389771,0.027682328180289414,0.005514453736745355,0.03109730339260914,0.006792495719625891
4.28580019648104,0.030129288076528614,0.005723131417964721,0.03291189619902821,0.006944220774324214
4.158054748166767,0.03274997298317094,0.00594639368823457,0.03472164022143938,0.007103017568230925
4.034116966756427,0.035505495796440696,0.006206956241364455,0.036562776183705854,0.007255721788214255
3.9138733583647793,0.03839552593265861,0.006497622526080414,0.038430032204762814,0.0074155349794881534
3.7972138119817904,0.04149528373293044,0.006852375742339197,0.040247209324107615,0.007550879346520178
3.6840314986403864,0.044846557324671646,0.00724659600280791,0.04197649137298425,0.007687227267536433
3.5742227735896637,0.048435871205146114,0.007700044433131612,0.04362699450379639,0.00783688775243487
3.4676870813839953,0.0522851696155473,0.008217049133144035,0.045178232554295164,0.00794435458980428
3.3643268638011197,0.056313314847053236,0.008749083566893964,0.046715957637912996,0.008069899402853575
3.2640474705048783,0.06060320429940986,0.009249470155463976,0.048142681718426825,0.008209034162608098
3.1667570723708085,0.06508401405906508,0.009720083948735594,0.04954574774112255,0.008344460393686476
3.0723665773952002,0.06978209703365888,0.010104887776335277,0.05088574073830878,0.008494003576591368
2.9807895491106353,0.0746606183641667,0.010433869835981479,0.05221099068704782,0.008598400322533922
2.89194212743328,0.07970790551719872,0.010719190876350341,0.053517240716409516,0.008704485907235012
2.8057429518694663,0.08490061939522471,0.010981242489546307,0.05482842082864342,0.008824210737346854
2.722113087011215,0.09023970977264618,0.011250355378398743,0.05613066369617861,0.008941786020341035
2.640975950252502,0.09574175409731467,0.01149828860585903,0.057405368876815605,0.009023729913628096
2.56225724166006,0.1013943095950544,0.011749018571829709,0.05866556837444025,0.009073506722392918
2.4858848759344934,0.10718547734302776,0.01200239162851705,0.05992611926950791,0.009102674555308636
2.4117889163994066,0.11312087969634113,0.012247012354490713,0.06117987356601527,0.009092724295169982
2.3399015109581063,0.11918437396602165,0.012503008119290258,0.06245092371207114,0.009079711552539439
2.270156829959207,0.125374257507897,0.012763646765780701,0.06374497379631953,0.009053027654332307
2.2024910059142684,0.1316951563447474,0.013020877906700232,0.06504754790344434,0.009061816659583761
2.1368420750122423,0.1381496887998549,0.013302050443861221,0.06635140532436727,0.009110709021464592
2.0731499203771824,0.14471510761951462,0.013579946870275687,0.06771986401597131,0.009194472699728153
2.011356217017251,0.151391713604055,0.013852791896033341,0.06916421372893165,0.00931520181918082
1.951404378414617,0.15816585073475659,0.014124494748485842,0.07072817124508494,0.009440127024060763
1.8932395047073238,0.16502578249402294,0.014385056681393907,0.07244846744583779,0.009593927080567015
1.8368083324156919,0.1719810581320185,0.014626631033075384,0.07432601733255548,0.009762482290336423
1.7820591856672048,0.17903661018922543,0.014868946505189535,0.07638419249936163,0.00992853487711637
1.7289419288752192,0.18617534979469344,0.015111370490857725,0.07865862635353636,0.010083342497704944
1.6774079208281676,0.19340206321447592,0.015351019224472,0.0811724212714245,0.010253877294094276
1.6274099701472073,0.20070200294720567,0.01559127566058443,0.08398277934564287,0.01039312654356455
1.578902292071531,0.20805931953991486,0.015814614660801755,0.08716120329023765,0.010517906748065561
1.5318404665317589,0.21546479457866521,0.01602580203000153,0.09076240901819181,0.010634169894419445
