alphas,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,hat_w_mean,hat_w_std,hat_v_mean,hat_v_std,hat_tau_mean,hat_tau_std
4.0,0.016119020901696996,0.007254453137842605,0.019979267924622287,0.005548666887475494,0.0013099433440081412,0.0003791772229242692,0.7595192673585031,0.08282077906014584,1.9285689484410602,0.03486125111221305,3.7536012746558978,0.13083653067647008
3.916858388984005,0.018143793096610877,0.007753512023017256,0.02150056789855418,0.00569487965463426,0.0014042466572841673,0.00040853245233108597,0.7599792944458694,0.08274871625439079,1.9277947286291282,0.03496943770109366,3.7538335437121475,0.13090414789712013
3.835444909838595,0.01997228673762423,0.008185051979236635,0.022865228213190685,0.005836614483910584,0.0015413564323254686,0.0004058590529356639,0.7604470779706421,0.08269891444002071,1.927145881470976,0.03494854957949853,3.7541866387808347,0.13073971479803886
3.7557236426468252,0.02195547252917839,0.008667571161288754,0.02420183284468803,0.005921134535345699,0.0016414439193272057,0.0004178866742902265,0.7609229158851902,0.08263592500202979,1.9264003219287593,0.03502082795107916,3.754442951703392,0.13071247260291532
3.6776594141016963,0.02402636602419976,0.009103269417096833,0.02556144426966935,0.006043411802566691,0.0017359615709622302,0.00042185702907724873,0.7614114562128458,0.08256140142875075,1.9256171218728877,0.035105416243314654,3.7546844169339164,0.13072505874507398
3.6012177819875575,0.026144897510134026,0.009548746874444429,0.02693849737776943,0.006222106283130968,0.0018582981383544871,0.00046784319205024974,0.7619323484982455,0.0824878151445376,1.9248435613959503,0.03512208499678753,3.754998569378876,0.13059139769692368
3.526365019984085,0.028363866674115085,0.010049967500685906,0.028290065200811947,0.006422649271167596,0.0020107787065893916,0.0005232432994010935,0.7624849823790248,0.08243788550512803,1.924053334177746,0.035240967711573506,3.7553875615561316,0.13065796314770162
3.453068102786103,0.030727873904090135,0.01054658120820754,0.029611005876429727,0.006657986544609028,0.002132035494509217,0.0004927634656135645,0.7630349609131462,0.08236665985591214,1.9231823279610905,0.03534312195743248,3.7556971738902605,0.13068263159683455
3.3812946915327076,0.03314570822734741,0.011082765064507675,0.03094560941353744,0.006950523660064514,0.0022832477843565398,0.0005086317025727951,0.763618881757783,0.08227917091345682,1.9223181518781813,0.035403451188311945,3.7560841083521774,0.1306276056451077
3.3110131195392425,0.035712130685970345,0.01151658514800935,0.03224442356691592,0.007346351966380961,0.0024021282175830205,0.0005157716630112438,0.7642144471633269,0.08218833035837071,1.921373786613397,0.035481844138840216,3.7563880455713674,0.1306019538492636
