vals,w,v,tau,hat_w,hat_v,hat_tau,rs_loo_hc
10.000000000000002,8.056822562041868e-11,8.06794486209512e-07,3.843299360986101e-12,0.788390257556377,2.742043677838636,7.521624670509128,0.5
9.701933262266492,2.648031716915846e-10,1.5207058613167625e-06,1.2631752135787917e-11,0.7883902592353604,2.742043672267339,7.521624665499248,0.5
9.412750902547295,8.139117598103689e-10,2.771257826247903e-06,3.882556056521643e-11,0.7883902617846426,2.7420436607877487,7.521624665600628,0.5
9.132188107085252,2.348695392583049e-09,4.892190337676691e-06,1.1203845329995222e-10,0.7883902665778142,2.7420436421798513,7.521624666269436,0.5
8.859987955340486,6.3866280324601365e-09,8.38135545549764e-06,3.046576075607288e-10,0.7883902750065301,2.7420436115068716,7.52162466774384,0.5
8.595901184719835,1.6421705574388035e-08,1.3959248902264134e-05,7.833550691042469e-10,0.7883902893896562,2.7420435610089564,7.521624670806867,0.5
8.33968596231893,4.005752180504849e-08,2.2638720327959507e-05,1.9108406091279453e-09,0.7883903123282363,2.742043474023251,7.521624674363817,0.5
8.091107663467895,9.298291535082518e-08,3.5805270500228025e-05,4.435509583065104e-09,0.7883903527040954,2.742043339424014,7.521624688468382,0.5
7.84993865687785,2.0598281658525066e-07,5.530588632757934e-05,9.82587692636171e-09,0.7883904198307283,2.7420431209340936,7.521624717167713,0.5
7.615958096191474,4.366657827655083e-07,8.354333317158834e-05,2.083000779348027e-08,0.7883905298206904,2.742042762703192,7.521624771858609,0.5
7.388951717746785,8.881162063396817e-07,0.0001235719737008708,4.236526920203455e-08,0.788390714336865,2.742042194283213,7.5216248835592,0.5
7.168711644368867,1.7371588313432937e-06,0.0001791902218522286,8.286660540641863e-08,0.7883910177322451,2.742041283204326,7.521625091990419,0.5
6.95503619500994,3.275242741166425e-06,0.0002550243799147005,1.5623677391545677e-07,0.7883915112012423,2.7420398307116196,7.521625466616493,0.5
6.747729700063433,5.964980338060544e-06,0.000356598273761019,2.8454331461150414e-07,0.7883923067125461,2.742037547225796,7.521626122318015,0.5
6.546602322182891,1.0514994295395161e-05,0.000490383209106024,5.01588741219951e-07,0.7883935697311322,2.742034001099952,7.521627232163969,0.5
6.351469882441723,1.7974856838354237e-05,0.0006638232321830971,8.574389277748889e-07,0.7883955421874451,2.7420285782614355,7.521629054759698,0.5
6.162153691674519,2.9850526789013958e-05,0.0008853311554487427,1.4239287599048591e-06,0.7883985595063439,2.7420203975968347,7.521631951112813,0.5
5.978480386845528,4.823891581023075e-05,0.001164252244593655,2.3010791699404836e-06,0.7884030945079252,2.7420082949764604,7.52163644009905,0.5
5.800281772294445,7.597809599914097e-05,0.0015107925003810866,3.624258288263047e-06,0.788409773494856,2.7419907001897545,7.52164321478317,0.5
5.627394665714152,0.00011680762740841242,0.001935911253160983,5.571821538527977e-06,0.7884194195264592,2.74196557264488,7.521653178075345,0.5
5.459660748719315,0.00017553146635663092,0.0024511773844545057,8.372868666803818e-06,0.7884330791238502,2.74193034022507,7.521667505672459,0.5
5.2969264218690695,0.0002581747047635427,0.003068592571540025,1.2314695890463461e-05,0.7884520688240191,2.741881840023752,7.52168766976529,0.5116312864554814
5.139042664010976,0.0003721243238505875,0.0038003832017364397,1.7749469851312664e-05,0.7884779940204956,2.7418162430689232,7.5217154717180605,0.5146392633876352
4.9858648958174685,0.000526244423337995,0.004658767087758697,2.509966060599545e-05,0.7885127728764606,2.741729012691766,7.5217530681862135,0.5178527562819091
4.837252847389834,0.0007309572442843386,0.005655701787584939,3.486180959020322e-05,0.7885586615864864,2.7416149176087563,7.521802999983614,0.5213643282330447
4.693070429808473,0.0009982826073694597,0.006802621067912678,4.760826986389631e-05,0.7886182583316217,2.741468024882668,7.521868193987526,0.5250745116730332
4.553185610511813,0.0013418306624300566,0.00811016827353505,6.398666265391836e-05,0.788694497936858,2.7412817221190013,7.521951956339771,0.5290251649710592
4.417470292389771,0.0017767457581066254,0.0095879370499988,8.471693046748372e-05,0.7887906511015832,2.7410488179408383,7.52205796716062,0.5331697908149541
4.28580019648104,0.0023196005667928126,0.011244224785912964,0.00011058593680658836,0.7889102907762975,2.740761589691404,7.5221902410937656,0.5375296420365014
4.158054748166767,0.0029882441210093737,0.013085811492779159,0.00014243977038624745,0.7890572731630284,2.7404119375202542,7.522353096989885,0.5420653415615934
4.034116966756427,0.0038016069595453966,0.015117766348575673,0.00018117390636025068,0.7892356879241673,2.7399914821388807,7.522551099324286,0.5467597360894528
3.9138733583647793,0.00477947094248493,0.01734329184518684,0.00022772157693398917,0.7894498152403084,2.7394917253787,7.522789001898718,0.5515599632466224
3.7972138119817904,0.005942211329694705,0.019763608993410713,0.0002830407167275045,0.7897040782574698,2.7389042220322697,7.523071680277402,0.5564333346674765
3.6840314986403864,0.007310517820331475,0.02237788269315876,0.00034809982354481577,0.7900029766615376,2.7382207086529737,7.5234040584585316,0.5614663720326516
3.5742227735896637,0.008905106232562687,0.02518319517135227,0.00042386329021757563,0.7903510381731322,2.7374332942733206,7.5237910320594175,0.5665365209416403
3.4676870813839953,0.010746425677941181,0.028174559200492014,0.0005112764868231014,0.7907527519553899,2.7365345914792982,7.524237395891001,0.5716848845868724
3.3643268638011197,0.012854372054781155,0.03134497536297886,0.0006112511216502351,0.7912125141731164,2.7355178715131743,7.524747770383886,0.5768258043468597
3.2640474705048783,0.015248014125291198,0.03468552800060568,0.0007246512197234303,0.7917345742487694,2.7343771979372224,7.525326523551162,0.5820385737817931
